iter	MultiClass
0	-1.961370468
1	-1.7473313
2	-1.605927031
3	-1.501778046
4	-1.419139381
5	-1.353783465
6	-1.297779679
7	-1.251910604
8	-1.213029862
9	-1.179758255
10	-1.152103632
11	-1.12680509
12	-1.104790432
13	-1.085618773
14	-1.068316974
15	-1.052619915
16	-1.040291313
17	-1.028163316
18	-1.017040105
19	-1.006821959
20	-0.9979338493
21	-0.9901243904
22	-0.9829923147
23	-0.9762011375
24	-0.9698533468
25	-0.9638710597
26	-0.95860706
27	-0.9537988934
28	-0.9493268125
29	-0.9451044303
30	-0.9415930254
31	-0.9378977712
32	-0.9340083988
33	-0.9307950048
34	-0.9274554211
35	-0.9243016146
36	-0.9219145887
37	-0.9195721931
38	-0.9170350844
39	-0.9146957729
40	-0.9122879063
41	-0.9100732029
42	-0.908273404
43	-0.9064323133
44	-0.9047145309
45	-0.9028391066
46	-0.9009403738
47	-0.899161627
48	-0.8973668264
49	-0.8958606281
50	-0.89434624
51	-0.8929254421
52	-0.8916261731
53	-0.8902802969
54	-0.8889563467
55	-0.8872846196
56	-0.8859269262
57	-0.8850304984
58	-0.8835290451
59	-0.8824463188
60	-0.8810045755
61	-0.8792554856
62	-0.8782504251
63	-0.8771709908
64	-0.8758730004
65	-0.8744127145
66	-0.8733461708
67	-0.8724201903
68	-0.8709662456
69	-0.869767838
70	-0.8682389828
71	-0.8669788044
72	-0.8656747191
73	-0.8645392038
74	-0.8634491756
75	-0.8625301263
76	-0.8614775968
77	-0.8607158278
78	-0.8597595192
79	-0.858953333
80	-0.857855357
81	-0.8568234291
82	-0.8558495878
83	-0.8550256434
84	-0.8539494388
85	-0.8529385508
86	-0.851932734
87	-0.8510457626
88	-0.8498990941
89	-0.8491118667
90	-0.8481617788
91	-0.8473622454
92	-0.8463189629
93	-0.8453848639
94	-0.8445323924
95	-0.8434449828
96	-0.8421964202
97	-0.8415611101
98	-0.8406474837
99	-0.8394523134
100	-0.8384144219
101	-0.8377231893
102	-0.8371816318
103	-0.836224139
104	-0.8351442869
105	-0.8342926046
106	-0.8331098775
107	-0.8322186962
108	-0.8314668308
109	-0.8308755532
110	-0.8300929402
111	-0.8289707653
112	-0.8280755806
113	-0.8271526869
114	-0.8261545816
115	-0.8255274495
116	-0.824327837
117	-0.8232721146
118	-0.8223588904
119	-0.8213219934
120	-0.8204215454
121	-0.8197452443
122	-0.8188782239
123	-0.818051123
124	-0.8174842345
125	-0.816676678
126	-0.8155485396
127	-0.8147159376
128	-0.8138989418
129	-0.8127392102
130	-0.8117139344
131	-0.8109622414
132	-0.8101508304
133	-0.80917601
134	-0.808234644
135	-0.8074708615
136	-0.8067589782
137	-0.8061876521
138	-0.8052862801
139	-0.8045084084
140	-0.8036922317
141	-0.8029924238
142	-0.8024952441
143	-0.8017492536
144	-0.8011631151
145	-0.8005542408
146	-0.7999339172
147	-0.7987619006
148	-0.7982937335
149	-0.7977816762
150	-0.7973124589
151	-0.7962307959
152	-0.7953369182
153	-0.7947910178
154	-0.7941577053
155	-0.7934567255
156	-0.7925090216
157	-0.7916791765
158	-0.7908299262
159	-0.7902789286
160	-0.7896795407
161	-0.7887959095
162	-0.7884448476
163	-0.7878234697
164	-0.7868687994
165	-0.7861343021
166	-0.7854933682
167	-0.7845943909
168	-0.7838831831
169	-0.782983444
170	-0.7824721603
171	-0.781625237
172	-0.7806858127
173	-0.7797901526
174	-0.7791780557
175	-0.7787672668
176	-0.7781125943
177	-0.7776556675
178	-0.7769757658
179	-0.7765296979
180	-0.7756564593
181	-0.7751810964
182	-0.7747362877
183	-0.7740901536
184	-0.7733072627
185	-0.7724235649
186	-0.7718152303
187	-0.7709909906
188	-0.7699930902
189	-0.7696155915
190	-0.7688749244
191	-0.7680010638
192	-0.7675613054
193	-0.7668536057
194	-0.7663991876
195	-0.7654870075
196	-0.7648505178
197	-0.7639724935
198	-0.7633117864
199	-0.7622300804
200	-0.7616273964
201	-0.7602585022
202	-0.7597333247
203	-0.7594812392
204	-0.7586511707
205	-0.75778496
206	-0.7568341186
207	-0.7558326658
208	-0.7553335166
209	-0.7547916509
210	-0.7542591913
211	-0.7535431158
212	-0.7528411338
213	-0.7523418524
214	-0.7517842266
215	-0.7514221163
216	-0.7508665413
217	-0.7500734562
218	-0.7494968144
219	-0.7489267137
220	-0.7483439401
221	-0.7475452203
222	-0.7468937368
223	-0.7462399358
224	-0.7454429139
225	-0.7448263243
226	-0.7442400914
227	-0.7435862447
228	-0.7426169451
229	-0.7419247995
230	-0.7414113763
231	-0.7407766878
232	-0.7402725889
233	-0.7398173834
234	-0.738919121
235	-0.7381718573
236	-0.7371522714
237	-0.7365011972
238	-0.7358133879
239	-0.7353508953
240	-0.734854674
241	-0.7341881646
242	-0.7336187857
243	-0.7330379616
244	-0.7323004464
245	-0.7316396291
246	-0.7307844985
247	-0.7300806156
248	-0.7295118516
249	-0.7288377463
250	-0.7280351165
251	-0.7272066017
252	-0.7262897574
253	-0.7257696181
254	-0.7250337496
255	-0.7243670514
256	-0.7235951104
257	-0.7229224757
258	-0.7224380086
259	-0.7215448531
260	-0.7207650429
261	-0.7202063073
262	-0.7196647235
263	-0.7189814535
264	-0.7184239994
265	-0.7177407327
266	-0.7168584181
267	-0.7163190401
268	-0.7153671315
269	-0.7146785535
270	-0.714083612
271	-0.7135739948
272	-0.7129267717
273	-0.7120643193
274	-0.7116881169
275	-0.7111972759
276	-0.7108481586
277	-0.7103688228
278	-0.7093769932
279	-0.7086834392
280	-0.7080729558
281	-0.7071353202
282	-0.7065605973
283	-0.7058074363
